0.00	0.00	0.00	0.03	0.00	0.00	0.00	0.00	0.00	
0.00	0.00	1.25	0.67	2.61	0.65	1.08	0.64	0.00	
0.00	1.22	0.00	1.88	3.78	2.07	0.00	1.08	0.00	
0.00	2.39	3.81	1.69	2.43	1.66	5.48	1.28	0.00	
0.04	0.79	2.95	0.60	0.00	0.58	2.87	0.72	0.04	
0.00	1.27	5.36	1.72	2.52	1.69	3.87	2.33	0.00	
0.00	1.07	0.00	2.09	3.66	2.01	0.00	1.15	0.00	
0.00	0.68	1.09	0.66	2.57	0.70	1.22	0.00	0.00	
0.00	0.00	0.00	0.00	0.00	0.02	0.00	0.00	0.00	

0.00	0.00	0.00	4.60	0.00	0.00	0.00	0.00	0.00	
0.00	0.00	3.69	3.75	3.22	3.81	3.32	3.26	0.00	
0.00	3.30	0.00	3.61	2.79	3.42	0.00	3.31	0.00	
0.00	3.57	3.51	3.87	3.11	4.01	3.49	3.61	0.00	
4.36	2.84	2.65	2.92	0.00	2.95	2.71	2.84	4.32	
0.00	3.61	3.46	4.01	3.07	3.84	3.46	3.56	0.00	
0.00	3.25	0.00	3.44	2.72	3.59	0.00	3.32	0.00	
0.00	3.23	3.32	3.93	3.19	3.73	3.69	0.00	0.00	
0.00	0.00	0.00	0.00	0.00	4.65	0.00	0.00	0.00	

0.00	0.00	0.00	4.63	0.00	0.00	0.00	0.00	0.00	
0.00	0.00	4.94	4.42	5.83	4.46	4.39	3.90	0.00	
0.00	4.51	0.00	5.49	6.57	5.49	0.00	4.39	0.00	
0.00	5.96	7.32	5.56	5.53	5.67	8.97	4.88	0.00	
4.40	3.63	5.60	3.52	0.00	3.53	5.58	3.57	4.36	
0.00	4.88	8.82	5.73	5.59	5.53	7.33	5.89	0.00	
0.00	4.33	0.00	5.53	6.38	5.60	0.00	4.47	0.00	
0.00	3.90	4.42	4.59	5.76	4.43	4.91	0.00	0.00	
0.00	0.00	0.00	0.00	0.00	4.68	0.00	0.00	0.00	
