16 16
0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	
0.00	0.00	0.00	4.16	4.40	3.86	0.00	0.00	0.00	
0.00	0.00	0.00	4.52	4.41	4.81	0.00	0.00	0.00	
4.18	4.75	3.59	3.66	3.62	3.88	0.00	0.00	0.00	
4.21	4.30	3.58	3.33	3.14	3.45	4.30	4.17	0.00	
4.02	4.48	3.50	3.35	3.65	3.29	4.25	4.35	0.00	
0.00	0.00	3.42	3.45	3.42	3.73	4.69	3.99	0.00	
0.00	0.00	4.44	4.38	4.50	0.00	0.00	0.00	0.00	
0.00	0.00	4.28	4.23	4.10	0.00	0.00	0.00	0.00	

0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	
0.00	0.00	0.00	4.62	4.11	3.91	0.00	0.00	0.00	
0.00	0.00	0.00	4.33	4.45	4.87	0.00	0.00	0.00	
3.98	4.58	3.58	3.42	3.63	3.91	0.00	0.00	0.00	
4.37	4.44	3.48	3.47	3.23	3.26	4.13	4.19	0.00	
4.03	4.49	3.34	3.50	3.23	3.72	4.49	4.11	0.00	
0.00	0.00	3.72	3.08	3.81	3.65	4.70	3.89	0.00	
0.00	0.00	4.68	4.42	4.53	0.00	0.00	0.00	0.00	
0.00	0.00	4.21	4.23	4.05	0.00	0.00	0.00	0.00	

0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	
0.00	0.00	0.00	8.78	8.51	7.77	0.00	0.00	0.00	
0.00	0.00	0.00	8.85	8.86	9.68	0.00	0.00	0.00	
8.16	9.33	7.17	7.08	7.25	7.79	0.00	0.00	0.00	
8.58	8.74	7.06	6.80	6.37	6.71	8.43	8.36	0.00	
8.05	8.97	6.84	6.85	6.88	7.01	8.74	8.46	0.00	
0.00	0.00	7.14	6.53	7.23	7.38	9.39	7.88	0.00	
0.00	0.00	9.12	8.80	9.03	0.00	0.00	0.00	0.00	
0.00	0.00	8.49	8.46	8.15	0.00	0.00	0.00	0.00	

0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	
0.00	0.00	0.00	0.46	-0.29	0.05	0.00	0.00	0.00	
0.00	0.00	0.00	-0.19	0.04	0.06	0.00	0.00	0.00	
-0.20	-0.17	-0.01	-0.24	0.01	0.03	0.00	0.00	0.00	
0.16	0.14	-0.10	0.14	0.09	-0.19	-0.17	0.02	0.00	
0.01	0.01	-0.16	0.15	-0.42	0.43	0.24	-0.24	0.00	
0.00	0.00	0.30	-0.37	0.39	-0.08	0.01	-0.10	0.00	
0.00	0.00	0.24	0.04	0.03	0.00	0.00	0.00	0.00	
0.00	0.00	-0.07	-0.00	-0.05	0.00	0.00	0.00	0.00	
