16 16
0.00	0.00	0.00	3.67	3.71	3.57	0.00	0.00	0.00	
0.00	4.00	3.31	3.44	3.50	2.98	3.82	0.00	0.00	
3.52	3.28	2.98	3.15	2.84	2.90	3.40	0.00	0.00	
3.49	3.39	2.80	3.08	2.85	2.85	3.39	3.37	0.00	
3.87	3.60	3.23	2.99	2.77	3.14	3.27	3.88	0.00	
0.00	3.34	2.88	3.02	2.83	2.86	3.49	3.83	0.00	
0.00	3.74	3.36	3.36	3.27	3.48	3.62	0.00	0.00	
0.00	0.00	3.63	3.62	3.63	0.00	0.00	0.00	0.00	
0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	

0.00	0.00	0.00	3.80	3.61	3.77	0.00	0.00	0.00	
0.00	3.74	3.44	3.42	3.36	3.46	3.91	0.00	0.00	
3.58	3.42	3.11	2.67	2.74	2.99	3.22	0.00	0.00	
3.71	3.39	2.98	2.86	2.67	3.03	3.44	3.75	0.00	
3.71	3.41	2.78	2.95	2.99	3.16	3.48	3.80	0.00	
0.00	3.35	2.75	3.02	2.61	2.95	3.18	3.43	0.00	
0.00	3.85	3.34	3.29	3.49	3.53	3.82	0.00	0.00	
0.00	0.00	3.80	3.51	3.73	0.00	0.00	0.00	0.00	
0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	

0.00	0.00	0.00	7.47	7.32	7.34	0.00	0.00	0.00	
0.00	7.74	6.75	6.86	6.86	6.44	7.73	0.00	0.00	
7.10	6.70	6.09	5.82	5.58	5.89	6.62	0.00	0.00	
7.20	6.78	5.78	5.94	5.52	5.88	6.83	7.12	0.00	
7.58	7.01	6.01	5.94	5.76	6.30	6.75	7.68	0.00	
0.00	6.69	5.63	6.04	5.44	5.81	6.67	7.26	0.00	
0.00	7.59	6.70	6.65	6.76	7.01	7.44	0.00	0.00	
0.00	0.00	7.43	7.13	7.36	0.00	0.00	0.00	0.00	
0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	

0.00	0.00	0.00	0.13	-0.10	0.20	0.00	0.00	0.00	
0.00	-0.26	0.13	-0.02	-0.14	0.48	0.09	0.00	0.00	
0.06	0.14	0.13	-0.48	-0.10	0.09	-0.18	0.00	0.00	
0.22	0.00	0.18	-0.22	-0.18	0.18	0.05	0.38	0.00	
-0.16	-0.19	-0.45	-0.04	0.22	0.02	0.21	-0.08	0.00	
0.00	0.01	-0.13	0.00	-0.22	0.09	-0.31	-0.40	0.00	
0.00	0.11	-0.02	-0.07	0.22	0.05	0.20	0.00	0.00	
0.00	0.00	0.17	-0.11	0.10	0.00	0.00	0.00	0.00	
0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	
